2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":"https://ru.kinorium.com/?bye"} | headers=HTTPHeaderDict({'Content-Length': '40', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[32m    INFO[0m] AssertPage: URL соответствует ожидаемому: https://ru.kinorium.com/?bye
2025-07-23 20:33:31 [[32m    INFO[0m] ActionPage: Клик по элементу: ('css selector', 'body > div.modalBluring > div > div.topMenu__wrapper.topMenu_experimentFixedMenu > div > div.toolbox > button')
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': 'body > div.modalBluring > div > div.topMenu__wrapper.topMenu_experimentFixedMenu > div > div.toolbox...'}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.37"}} | headers=HTTPHeaderDict({'Content-Length': '126', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){var g=this||self;\nfunction aa(a){var b=typeof...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.37'}]}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/execute/sync HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: GET http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.37/enabled {}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "GET /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.37/enabled HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.37/click {}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.37/click HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[32m    INFO[0m] ActionPage: Клик по элементу: ('css selector', '#modalAuthWindow > div > div > form.hello.dialog > button:nth-child(2)')
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': '#modalAuthWindow > div > div > form.hello.dialog > button:nth-child(2)'}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.51"}} | headers=HTTPHeaderDict({'Content-Length': '126', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){var g=this||self;\nfunction aa(a){var b=typeof...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.51'}]}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/execute/sync HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: GET http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.51/enabled {}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "GET /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.51/enabled HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.51/click {}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.51/click HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[32m    INFO[0m] ActionPage: Заполнение поля ('css selector', '#modalAuthWindow > div > div > form.intReg.dialog > label:nth-child(3) > input[type=textfield]') текстом: Tammy
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': '#modalAuthWindow > div > div > form.intReg.dialog > label:nth-child(3) > input[type=textfield]'}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52"}} | headers=HTTPHeaderDict({'Content-Length': '126', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){var g=this||self;\nfunction aa(a){var b=typeof...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52'}]}
2025-07-23 20:33:31 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/execute/sync HTTP/1.1" 200 0
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":false} | headers=HTTPHeaderDict({'Content-Length': '15', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:31 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': '#modalAuthWindow > div > div > form.intReg.dialog > label:nth-child(3) > input[type=textfield]'}
2025-07-23 20:33:32 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.FDF5511EF86D07A9BE8A3CFAC8DA02A1.e.52"}} | headers=HTTPHeaderDict({'Content-Length': '126', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:32 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
